1301 東証1部 (株)極洋（水産・農林業）,,,,,
"2020-05-15","2655","2686","2627","2686","18900","2686"
"2020-05-18","2686","2698","2669","2692","11800","2692"
"2020-05-19","2699","2705","2661","2698","18200","2698"
"2020-05-20","2710","2714","2679","2689","14700","2689"
"2020-05-21","2689","2700","2672","2688","11000","2688"
"2020-05-22","2690","2698","2668","2670","6100","2670"
"2020-05-25","2670","2693","2670","2687","6500","2687"
"2020-05-26","2687","2699","2674","2690","14700","2690"
"2020-05-27","2690","2700","2665","2700","15900","2700"
"2020-05-28","2704","2735","2684","2727","22400","2727"
"2020-05-29","2727","2744","2695","2695","16500","2695"
"2020-06-01","2709","2718","2679","2701","10600","2701"
"2020-06-02","2703","2737","2690","2730","11300","2730"
"2020-06-03","2730","2758","2725","2750","19800","2750"
"2020-06-04","2751","2755","2726","2752","13300","2752"
"2020-06-05","2790","2790","2760","2787","18300","2787"
"2020-06-08","2787","2787","2760","2775","17700","2775"
"2020-06-09","2767","2784","2761","2771","9200","2771"
"2020-06-10","2769","2773","2760","2760","8800","2760"
"2020-06-11","2760","2760","2704","2704","11300","2704"
"2020-06-12","2701","2704","2650","2685","21100","2685"
"2020-06-15","2672","2715","2654","2656","14100","2656"
"2020-06-16","2698","2731","2671","2709","16200","2709"
"2020-06-17","2696","2730","2696","2713","7100","2713"
"2020-06-18","2707","2707","2684","2705","9000","2705"
"2020-06-19","2743","2743","2680","2680","32700","2680"
"2020-06-22","2686","2704","2677","2683","10900","2683"
"2020-06-23","2701","2719","2670","2713","11400","2713"
"2020-06-24","2705","2718","2670","2670","11100","2670"
"2020-06-25","2659","2697","2659","2682","10500","2682"
"2020-06-26","2720","2720","2679","2703","15500","2703"
"2020-06-29","2719","2738","2700","2728","23000","2728"
"2020-06-30","2743","2759","2720","2720","13100","2720"
"2020-07-01","2716","2732","2673","2680","22600","2680"
"2020-07-02","2699","2710","2666","2697","16600","2697"
"2020-07-03","2764","2764","2689","2731","22400","2731"
"2020-07-06","2734","2740","2715","2740","16800","2740"
"2020-07-07","2750","2750","2720","2739","12200","2739"
"2020-07-08","2717","2764","2717","2733","15100","2733"
"2020-07-09","2733","2746","2712","2712","13600","2712"
"2020-07-10","2701","2707","2650","2650","26600","2650"
"2020-07-13","2651","2725","2651","2725","17800","2725"
"2020-07-14","2725","2739","2698","2735","13100","2735"
"2020-07-15","2742","2748","2724","2748","10800","2748"
"2020-07-16","2747","2747","2726","2739","9800","2739"
"2020-07-17","2750","2775","2742","2756","12500","2756"
"2020-07-20","2780","2780","2749","2766","12100","2766"
"2020-07-21","2762","2773","2750","2773","8400","2773"
"2020-07-22","2770","2770","2720","2720","8900","2720"
"2020-07-27","2720","2728","2700","2720","13100","2720"
"2020-07-28","2736","2742","2702","2740","9000","2740"
"2020-07-29","2718","2738","2708","2728","8700","2728"
"2020-07-30","2721","2749","2700","2707","13300","2707"
"2020-07-31","2707","2707","2640","2640","18800","2640"
"2020-08-03","2638","2687","2638","2685","8100","2685"
"2020-08-04","2685","2726","2677","2693","18500","2693"
"2020-08-05","2680","2737","2659","2735","18700","2735"
"2020-08-06","2712","2746","2706","2744","9200","2744"
"2020-08-07","2750","2763","2675","2675","31100","2675"
"2020-08-11","2661","2690","2607","2672","28100","2672"
"2020-08-12","2672","2716","2654","2701","19700","2701"
"2020-08-13","2712","2712","2680","2712","16600","2712"
"2020-08-14","2711","2727","2693","2706","11900","2706"
"2020-08-17","2714","2714","2685","2685","6900","2685"
"2020-08-18","2685","2705","2681","2704","10600","2704"
"2020-08-19","2694","2708","2694","2706","6800","2706"
"2020-08-20","2706","2706","2667","2667","20200","2667"
"2020-08-21","2672","2699","2672","2699","7000","2699"
"2020-08-24","2700","2731","2680","2720","19500","2720"
"2020-08-25","2710","2740","2710","2736","11700","2736"
"2020-08-26","2712","2729","2701","2721","7700","2721"
"2020-08-27","2721","2721","2705","2718","6500","2718"
"2020-08-28","2700","2721","2672","2691","23000","2691"
"2020-08-31","2704","2711","2687","2687","8300","2687"
"2020-09-01","2683","2696","2666","2690","13100","2690"
"2020-09-02","2710","2710","2674","2700","9100","2700"
"2020-09-03","2700","2722","2681","2683","12900","2683"
"2020-09-04","2680","2697","2676","2693","14200","2693"
"2020-09-07","2675","2709","2675","2702","8500","2702"
"2020-09-08","2699","2737","2699","2737","17400","2737"
"2020-09-09","2698","2722","2698","2710","16300","2710"
"2020-09-10","2734","2734","2711","2721","8100","2721"
"2020-09-11","2725","2738","2715","2715","16100","2715"
"2020-09-14","2722","2740","2716","2726","11500","2726"
"2020-09-15","2738","2740","2712","2727","14500","2727"
"2020-09-16","2720","2747","2719","2747","10500","2747"
"2020-09-17","2749","2752","2732","2740","16200","2740"
"2020-09-18","2741","2748","2720","2748","18600","2748"
"2020-09-23","2739","2749","2733","2749","21400","2749"
"2020-09-24","2732","2762","2704","2710","26800","2710"
"2020-09-25","2711","2750","2700","2747","28800","2747"
"2020-09-28","2761","2799","2739","2799","47800","2799"
"2020-09-29","2800","2857","2790","2846","38100","2846"
"2020-09-30","2828","2849","2798","2798","21900","2798"
"2020-10-02","2799","2810","2738","2739","19000","2739"
"2020-10-05","2769","2824","2769","2819","18700","2819"
"2020-10-06","2805","2834","2796","2824","10000","2824"
"2020-10-07","2796","2810","2778","2780","10100","2780"
"2020-10-08","2809","2809","2775","2786","9500","2786"
"2020-10-09","2799","2799","2762","2799","11800","2799"
"2020-10-12","2799","2799","2782","2785","6200","2785"
"2020-10-13","2799","2799","2783","2790","4800","2790"
"2020-10-14","2784","2793","2771","2788","8100","2788"
"2020-10-15","2788","2795","2771","2771","8000","2771"
"2020-10-16","2771","2771","2749","2752","7500","2752"
"2020-10-19","2777","2781","2765","2777","8300","2777"
"2020-10-20","2777","2777","2745","2745","10600","2745"
"2020-10-21","2745","2767","2745","2745","11900","2745"
"2020-10-22","2741","2744","2724","2734","8300","2734"
"2020-10-23","2725","2733","2720","2721","4800","2721"
"2020-10-26","2721","2737","2721","2730","4600","2730"
"2020-10-27","2721","2734","2710","2734","7600","2734"
"2020-10-28","2734","2740","2721","2729","5200","2729"
"2020-10-29","2725","2745","2721","2738","7300","2738"
"2020-10-30","2758","2759","2713","2731","13200","2731"
"2020-11-02","2743","2767","2731","2767","15100","2767"
"2020-11-04","2763","2768","2744","2746","12000","2746"
"2020-11-05","2745","2790","2671","2671","31400","2671"
"2020-11-06","2771","2786","2671","2782","30900","2782"
"2020-11-09","2800","2800","2757","2795","15800","2795"
"2020-11-10","2795","2819","2772","2793","27000","2793"
"2020-11-11","2810","2850","2796","2850","27300","2850"
"2020-11-12","2807","2839","2805","2814","13900","2814"
"2020-11-13","2821","2821","2771","2784","10500","2784"
"2020-11-16","2820","2820","2788","2804","15800","2804"
"2020-11-17","2800","2813","2785","2813","13100","2813"
"2020-11-18","2813","2838","2790","2838","14400","2838"
"2020-11-19","2834","2846","2812","2838","11600","2838"
"2020-11-20","2848","2848","2820","2832","10200","2832"
"2020-11-24","2850","2860","2806","2807","20100","2807"
"2020-11-25","2839","2846","2795","2831","27800","2831"
"2020-11-26","2820","2826","2801","2809","8700","2809"
"2020-11-27","2807","2825","2803","2819","22000","2819"
"2020-11-30","2816","2825","2795","2795","18900","2795"
"2020-12-01","2824","2824","2780","2787","17900","2787"
"2020-12-02","2806","2817","2789","2811","25700","2811"
"2020-12-03","2810","2816","2796","2807","9400","2807"
"2020-12-04","2819","2819","2800","2811","9200","2811"
"2020-12-07","2820","2830","2806","2811","12900","2811"
"2020-12-08","2807","2824","2805","2816","10400","2816"
"2020-12-09","2816","2827","2807","2820","6600","2820"
"2020-12-10","2812","2828","2806","2815","14900","2815"
"2020-12-11","2810","2846","2810","2841","18400","2841"
"2020-12-14","2830","2888","2830","2888","31200","2888"
"2020-12-15","2880","2897","2874","2881","12900","2881"
"2020-12-16","2882","2882","2871","2871","8900","2871"
"2020-12-17","2872","2920","2870","2920","18900","2920"
"2020-12-21","2939","2947","2912","2947","11300","2947"
"2020-12-22","2947","2947","2907","2913","18000","2913"
"2020-12-24","2913","2937","2909","2917","13900","2917"
"2020-12-25","2903","2930","2903","2916","8300","2916"
"2020-12-28","2929","2950","2910","2950","22900","2950"
"2020-12-30","2947","2960","2923","2951","11100","2951"
